Date,Type,Count,Note
2025-08-25,22 oz,5,open shift
2025-08-25,16 oz,5,open shift
2025-08-25,12 oz,5,open shift
2025-08-25,8 oz,5,open shift
2025-08-25,TOTAL,20,open shift
2025-08-25,Close,22 oz,50,reach
2025-08-25,Close,16 oz,50,reach
2025-08-25,Close,12 oz,50,reach
2025-08-25,Close,8 oz,50,reach
2025-08-25,Close,TOTAL,200,reach
2025-08-25,Close,22 oz,50,reach
2025-08-25,Close,16 oz,50,reach
2025-08-25,Close,12 oz,50,reach
2025-08-25,Close,8 oz,50,reach
2025-08-25,Close,TOTAL,200,reach
2025-08-25,Open,22 oz,0,
2025-08-25,Open,16 oz,0,
2025-08-25,Open,12 oz,0,
2025-08-25,Open,8 oz,0,
2025-08-25,Open,TOTAL,0,
2025-08-25,Open,22 oz,0,
2025-08-25,Open,16 oz,0,
2025-08-25,Open,12 oz,0,
2025-08-25,Open,8 oz,0,
2025-08-25,Open,TOTAL,0,
2025-08-25,Open,,50,30,20,50,30,20,50,40,10,50,30,20,70
2025-08-27,1,,75,19,56,34,27,7,18,12,6,14,12,2,1700,500,1200,0,0,0,71
2025-08-27,1,,75,19,56,34,27,7,18,12,6,14,12,2,1700,500,1200,0,0,0,71
2025-08-27,2,,19,6,13,27,26,1,12,12,0,12,10,2,500,310,190,0,0,0,16
2025-08-27,1,,50,10,40,50,10,40,50,10,40,50,10,40,500,300,200,0,0,0,160
2025-08-27,1,,50,10,40,50,10,40,50,10,40,50,10,40,500,300,200,0,0,0,160
2025-08-27,1,,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,0
2025-08-27,1,,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,0
2025-08-28,1,,56,2,54,26,22,4,62,56,6,60,57,3,810,250,560,0,0,0,67
2025-08-28,1,,52,35,17,22,18,4,56,54,2,57,56,1,750,450,300,0,0,0,24
2025-08-28,1,,52,34,18,22,18,4,56,54,2,57,56,1,750,450,300,0,0,0,25
2025-08-29,1,,84,19,65,18,12,6,54,42,12,56,56,0,1450,150,1300,0,0,0,83
2025-08-29,2,,69,52,17,62,56,6,41,39,2,56,55,1,150,150,0,0,0,0,26
2025-08-29,2,,69,52,17,62,56,6,41,39,2,56,55,1,650,150,500,0,0,0,26
2025-08-30,1,កែវ Reach1,302,44,258,56,34,22,35,18,17,55,50,5,3150,350,2800,0,0,0,302
2025-08-30,2,,45,6,39,34,30,4,18,17,1,50,49,1,950,400,550,0,0,0,45
2025-08-31,1,,157,6,151,30,16,14,67,47,20,49,45,4,2900,150,2750,0,0,0,189
2025-08-31,2,ភ្ញៀវដាក់កែវ១,56,11,45,16,7,9,47,39,8,45,45,0,650,480,170,0,0,0,62
2025-09-01,1,"សរុបទិន្នន័យពី
ថ្ងៃទី​ 28 ដល់ 31",647,0,647,69,0,69,68,0,68,15,0,15,8930,0,8930,0,0,0,799
2025-09-01,1,,111,48,63,57,54,3,39,33,6,45,44,1,1170,250,920,0,0,0,73
2025-09-01,2,,48,18,30,54,44,10,33,29,4,44,42,2,750,300,450,0,0,0,46
2025-09-02,1,កែវ Boss 1,68,7,61,44,35,9,29,19,10,42,34,8,1300,100,1200,0,0,0,88
2025-09-02,2,,57,41,16,35,30,5,19,13,6,34,33,1,600,200,400,0,0,0,28
2025-09-03,1,,90,23,67,30,24,6,13,2,11,33,28,5,1700,350,1350,0,0,0,89
2025-09-03,2,,23,11,12,24,17,7,2,1,1,28,28,0,350,200,150,0,0,0,20
2025-09-04,1,,61,15,46,17,13,4,51,46,5,28,25,3,1200,300,900,0,0,0,58
2025-09-04,1,,61,15,46,17,13,4,51,46,5,28,25,3,1200,300,900,0,0,0,58
2025-09-04,2,,15,1,14,13,9,4,46,45,1,25,23,2,300,0,300,0,0,0,21
2025-09-05,1,បាត់1កែវ,101,27,74,59,51,8,45,33,12,23,22,1,1500,100,1400,0,0,0,95
2025-09-05,2,"ភ្ញៀវដាក់កែវដែកមួយ 
បាត់មួយកែវ",28,7,21,51,48,3,33,31,2,22,22,0,600,300,300,0,0,0,26
2025-09-06,1,ភ្ញៀវដាក់កែវ 8,205,24,181,48,41,7,31,17,14,22,18,4,3300,100,3200,0,0,0,206
2025-09-06,2,,74,50,24,41,39,2,17,15,2,18,18,0,500,150,350,0,0,0,28
2025-09-07,1,,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-09-07,1,ភ្ញៀវដាក់កែវ 4,200,28,172,39,30,9,65,45,20,18,10,8,3100,100,3000,0,0,0,209
2025-09-07,2,,28,1,27,30,27,3,45,39,6,10,10,0,600,200,400,0,0,0,36
2025-09-08,1,"សរុបទិន្នន័យពី
ថ្ងៃទី​ 01 ដល់ 7
កាហ្វេ = (24.159 Kg)",1501,0,1501,153,0,153,173,0,173,53,0,53,24150,0,24150,0,0,0,1880
2025-09-08,1,"សរុបទិន្នន័យពី
ថ្ងៃទី​ 01 ដល់ 7
កាហ្វេ = (15.22 Kg)",854,0,854,84,0,84,105,0,105,38,0,38,15220,0,15220,0,0,0,1081
2025-09-08,1,ភ្ញៀវដាក់កែវ 3,101,6,95,27,27,0,39,26,13,10,6,4,2200,330,1870,0,0,0,112
2025-09-08,2,,56,49,7,27,25,2,26,26,0,6,5,1,330,190,140,0,0,0,10
2025-09-09,1,,99,28,71,25,18,7,26,11,15,5,4,1,1690,200,1490,0,0,0,94
2025-09-09,2,ភ្ញៀវដាក់កែវ2,28,24,4,18,16,2,11,9,2,4,4,0,200,70,130,0,0,0,8
2025-09-10,1,,72,18,54,16,10,6,59,52,7,54,54,0,1070,50,1020,0,0,0,67
2025-09-10,2,,68,45,23,10,7,3,52,48,4,54,52,2,550,250,300,0,0,0,32
2025-09-10,2,,68,45,23,10,7,3,52,48,4,54,52,2,550,250,300,0,0,0,32
2025-09-11,1,,95,42,53,57,49,8,48,45,3,52,31,21,1250,252,998,0,0,0,85
2025-09-11,2,,42,22,20,49,49,0,45,45,0,31,28,3,752,400,352,0,0,0,23
2025-09-12,1,កែវreach1,122,50,72,49,43,6,45,28,17,28,24,4,0,0,0,0,0,0,99
2025-09-12,1,កែវreach1,122,50,72,49,43,6,45,28,17,28,24,4,1900,450,1450,0,0,0,99
2025-09-12,1,កែវreach1,122,50,72,49,43,6,45,28,17,28,24,4,1900,450,1450,0,0,0,99
2025-09-13,1,ភ្ញៀវដាក់កែវ 6,324,41,283,43,13,30,73,50,23,23,15,8,4500,200,4300,0,0,0,344
2025-09-13,2,,41,10,31,13,11,2,50,46,4,15,15,0,0,0,0,0,0,0,37
2025-09-14,1,ភ្ញៀវដាក់កែវ3,210,10,200,61,40,21,46,11,35,15,9,6,4200,300,3900,0,0,0,262
2025-09-14,2,,110,45,65,40,31,9,11,9,2,9,8,1,800,410,390,0,0,0,77
2025-09-15,2,ភ្ញៀវដាក់កែវ1,93,19,74,31,22,9,59,46,13,8,7,1,1410,450,960,0,0,0,97
2025-09-15,2,ភ្ញៀវដាក់កែវ1,19,4,15,22,20,2,46,45,1,7,7,0,450,300,150,0,0,0,18
2025-09-16,1,ភ្ញៀវដាក់កែវ1,104,50,54,20,18,2,45,36,9,7,2,5,300,150,150,0,0,0,70
2025-09-16,1,ភ្ញៀវដាក់កែវ1,104,50,54,20,18,2,45,36,9,7,2,5,1300,150,1150,0,0,0,70
2025-09-16,1,,104,50,54,20,18,2,45,36,9,7,2,5,1300,150,1150,0,0,0,70
2025-09-16,2,,50,41,9,18,17,1,36,33,3,2,1,1,150,0,150,0,0,0,14
2025-09-17,1,ភ្ញៀវដាក់កែវ1,91,29,62,17,10,7,33,24,9,51,50,1,0,200,-200,0,0,0,79
2025-09-17,1,ភ្ញៀវដាក់កែវ1,91,29,62,17,10,7,33,24,9,51,50,1,1000,200,800,0,0,0,79
2025-09-17,2,,29,13,16,10,6,4,24,21,3,50,49,1,580,400,180,0,0,0,24
2025-09-18,1,,114,25,89,56,49,7,21,11,10,49,46,3,0,0,0,1900,300,1600,109
2025-09-18,2,,25,14,11,49,46,3,11,8,3,49,44,5,300,0,300,0,0,0,22
